1967,6,62.45
1968,6,61.89
1969,6,60.38
1970,6,61.05
1971,6,60.53
1972,6,64.13
1973,6,66.19
1974,6,64.65
1975,6,65.47
1976,6,65.35
1977,6,66.41
1978,6,64.41
1979,6,65.35
1980,6,65.46
1981,6,65.77
1982,6,64.79
1983,6,64.9
1984,6,64.79
1985,6,64.24
1986,6,65.7
1987,6,64.91
1988,6,65.98
1989,6,65.67
1990,6,66.02
1991,6,65.73
1992,6,64.68
1993,6,65.33
1994,6,66.54
1995,6,66.09
1996,6,66.02
1997,6,66.02
1998,6,67.09
1999,6,66.13
2000,6,66.51
2001,6,66.15
2002,6,66.76
2003,6,66.3
2004,6,66.17
2005,6,67.26
2006,6,67.89
2007,6,66.84
2008,6,66.53
2009,6,66.26
1950,7,66.91
1951,7,67.5
1952,7,68.1
1953,7,67.85
1954,7,67.75
1955,7,66.92
1956,7,66.35
1957,7,67.36
1959,7,68.25
1960,7,67.75
1961,7,67.68
1962,7,68.2
1963,7,68.63
1964,7,67.5
1965,7,65.76
1966,7,66.53
1967,7,66.95
1968,7,64.63
1969,7,66.16
1970,7,66.19
1971,7,65.98
1972,7,66.27
1973,7,68.76
1974,7,68.77
1975,7,69.47
1976,7,68.68
1977,7,68.6
1978,7,67.77
1979,7,68.23
1980,7,68.62
1981,7,68.72
1982,7,69.0
1983,7,69.8
1984,7,68.26
1985,7,68.38
1986,7,68.53
1987,7,68.53
1988,7,69.69
1989,7,69.67
1990,7,69.07
1991,7,69.58
1992,7,68.19
1993,7,68.91
1994,7,70.05
1995,7,70.07
1996,7,69.58
1997,7,68.91
1998,7,70.68
1999,7,70.67
2000,7,69.32
2001,7,70.28
2002,7,70.36
2003,7,70.24
2004,7,69.5
2005,7,70.69
2006,7,70.85
2007,7,70.29
2008,7,70.48
2009,7,68.52
1950,8,65.22
1951,8,65.88
1952,8,65.94
1953,8,65.39
1954,8,65.8
1955,8,65.64
1956,8,64.16
1957,8,65.75
1959,8,66.53
1960,8,65.26
1961,8,65.96
1962,8,65.84
1963,8,65.86
1964,8,64.95
1965,8,63.8
1966,8,64.66
1967,8,65.28
1968,8,64.05
1969,8,62.39
1970,8,62.29
1971,8,65.9
1972,8,66.94
1973,8,67.34
1974,8,67.22
1975,8,67.46
1976,8,66.65
1977,8,66.32
1978,8,65.76
1979,8,66.4
1980,8,66.69
1981,8,67.34
1982,8,67.01
1983,8,67.78
1984,8,66.74
1985,8,67.17
1986,8,66.78
1987,8,66.79
1988,8,67.72
1989,8,67.42
1990,8,67.87
1991,8,67.5
1992,8,67.1
1993,8,67.16
1994,8,68.03
1995,8,68.65
1996,8,67.05
1997,8,68.27
1998,8,68.96
1999,8,68.15
2000,8,68.62
2001,8,68.88
2002,8,67.97
2003,8,69.52
2004,8,67.88
2005,8,68.42
2006,8,68.37
2007,8,69.62
2008,8,68.46
1950,9,58.16
1951,9,58.8
1952,9,57.78
1953,9,57.69
1954,9,58.8
1955,9,57.9
1956,9,56.66
1957,9,59.04
1959,9,58.63
1960,9,58.23
1961,9,59.06
1962,9,58.58
1963,9,59.28
1964,9,58.36
1965,9,57.96
1966,9,57.36
1967,9,57.33
1968,9,56.11
1969,9,53.64
1970,9,54.6
1971,9,62.29
1972,9,65.27
1973,9,60.03
1974,9,60.71
1975,9,61.6
1976,9,59.83
1977,9,59.62
1978,9,59.91
1979,9,60.68
1980,9,60.45
1981,9,60.39
1982,9,60.85
1983,9,60.72
1984,9,59.63
1985,9,59.93
1986,9,59.39
1987,9,60.39
1988,9,60.64
1989,9,60.48
1990,9,60.06
1991,9,61.03
1992,9,59.27
1993,9,59.15
1994,9,61.32
1995,9,61.05
1996,9,59.16
1997,9,61.03
1998,9,61.74
1999,9,61.75
2000,9,61.39
2001,9,60.98
2002,9,61.59
2003,9,61.34
2004,9,61.62
2005,9,63.15
2006,9,62.5
2007,9,62.23
2008,9,61.01
1950,10,47.25
1951,10,46.64
1952,10,45.46
1953,10,47.06
1954,10,48.97
1955,10,47.95
1956,10,47.35
1957,10,47.21
1959,10,46.64
1960,10,47.88
1961,10,48.59
1962,10,48.97
1963,10,49.44
1964,10,48.22
1965,10,46.97
1966,10,47.05
1967,10,50.45
1968,10,45.72
1969,10,41.64
1970,10,40.51
1971,10,57.85
1972,10,60.77
1973,10,50.14
1974,10,49.74
1975,10,50.3
1976,10,47.54
1977,10,49.41
1978,10,50.22
1979,10,50.36
1980,10,50.01
1981,10,50.52
1982,10,49.82
1983,10,51.12
1984,10,50.32
1985,10,50.24
1986,10,50.09
1987,10,50.07
1988,10,50.91
1989,10,51.33
1990,10,51.57
1991,10,51.67
1992,10,49.22
1993,10,50.48
1994,10,51.74
1995,10,52.93
1996,10,50.72
1997,10,51.54
1998,10,52.06
1999,10,52.43
2000,10,51.93
2001,10,52.11
2002,10,50.77
2003,10,52.09
2004,10,52.47
2005,10,53.61
2006,10,52.87
2007,10,53.16
2008,10,53.19
1950,11,31.53
1951,11,34.55
1952,11,30.41
1953,11,31.24
1954,11,35.01
1955,11,34.85
1956,11,32.55
1957,11,35.46
1959,11,35.03
1960,11,35.52
1961,11,36.9
1962,11,36.38
1963,11,36.45
1964,11,37.49
1965,11,33.79
1966,11,35.52
1967,11,37.92
1968,11,32.94
1969,11,30.22
1970,11,27.83
1971,11,50.42
1972,11,54.74
1973,11,40.41
1974,11,38.69
1975,11,39.32
1976,11,37.95
1977,11,40.76
1978,11,40.35
1979,11,38.78
1980,11,39.52
1981,11,39.82
1982,11,40.06
1983,11,40.66
1984,11,37.53
1985,11,37.7
1986,11,39.18
1987,11,37.4
1988,11,39.05
1989,11,39.06
1990,11,40.41
1991,11,39.6
1992,11,39.19
1993,11,35.68
1994,11,40.7
1995,11,40.83
1996,11,40.67
1997,11,40.24
1998,11,37.92
1999,11,40.34
2000,11,40.81
2001,11,42.6
2002,11,41.03
2003,11,40.73
2004,11,42.38
2005,11,42.88
2006,11,41.67
2007,11,41.59
2008,11,42.93
1950,12,24.96
1951,12,29.52
1952,12,23.66
1953,12,26.69
1954,12,26.64
1955,12,23.24
1956,12,25.98
1957,12,28.09
1959,12,26.66
1960,12,27.7
1961,12,28.44
1962,12,27.33
1963,12,25.2
1964,12,29.36
1965,12,28.99
1966,12,25.2
1967,12,27.94
1968,12,23.93
1969,12,16.81
1970,12,16.87
1971,12,52.79
1972,12,53.09
1973,12,32.89
1974,12,32.33
1975,12,32.48
1976,12,30.36
1977,12,30.5
1978,12,29.21
1979,12,33.63
1980,12,31.49
1981,12,32.21
1982,12,33.75
1983,12,31.26
1984,12,28.79
1985,12,30.84
1986,12,30.33
1987,12,31.9
1988,12,32.97
1989,12,31.75
1990,12,32.31
1991,12,31.39
1992,12,32.23
1993,12,32.29
1994,12,31.89
1995,12,31.53
1996,12,31.64
1997,12,31.99
1998,12,33.84
1999,12,34.96
2000,12,33.17
2001,12,31.85
2002,12,29.66
2003,12,34.87
2004,12,32.41
2005,12,33.54
2006,12,36.3
2007,12,34.27
2008,12,33.44
